ds,yhat,yhat_lower,yhat_upper
1905-01-01,-0.26862052131233183,-0.4579473991909267,-0.08871567344157263
1905-02-01,-0.25826289024459503,-0.4514279556023647,-0.07224169539972629
1905-03-01,-0.24043271510258907,-0.4239457451418381,-0.05373845991224198
1905-04-01,-0.2527845620911369,-0.42887861167526115,-0.04138194256669403
1905-05-01,-0.2570173146424065,-0.44461658923317304,-0.07035440971262304
1905-06-01,-0.26580829210238166,-0.44278024267068894,-0.06811958479664451
1905-07-01,-0.25079216056479514,-0.4453797937381424,-0.06549239782083137
1905-08-01,-0.24996110003312935,-0.4373742641862628,-0.06289052704414193
1905-09-01,-0.24041892485625507,-0.43500400237760983,-0.04986799881450033
1905-10-01,-0.23842770021803497,-0.45206710302245373,-0.043050915826859146
1905-11-01,-0.24772248736794514,-0.4357769440348916,-0.04697033813360958
1905-12-01,-0.2630560318459461,-0.44600670286792593,-0.07906914921714939
1906-01-01,-0.2635448156640791,-0.4420582440160188,-0.08417795033110854
1906-02-01,-0.25679600266820124,-0.451057127601394,-0.06331515994966368
1906-03-01,-0.24350070389951137,-0.4132299034381678,-0.06792823667294064
1906-04-01,-0.25520529656483343,-0.43738264138188954,-0.0730002839757656
1906-05-01,-0.26128705110979467,-0.4530083869325312,-0.04790989972967242
1906-06-01,-0.26241009504809343,-0.4385294471924538,-0.06816902642450332
1906-07-01,-0.24993640438960202,-0.4390848364550064,-0.06674108408961471
1906-08-01,-0.2504296400707495,-0.4300995573822961,-0.05198958605831499
1906-09-01,-0.24380295640574517,-0.42848023180800654,-0.06097606786260764
1906-10-01,-0.23775335727804306,-0.42202079953116134,-0.04343988322849909
1906-11-01,-0.2445767509198366,-0.4458961589247971,-0.05811349656104891
1906-12-01,-0.2712131091920534,-0.4566173132742274,-0.09296930505870488
1907-01-01,-0.25713158609338604,-0.4546313238909685,-0.07566716882840747
1907-02-01,-0.25406769620992886,-0.43818748390068374,-0.06175133925698878
1907-03-01,-0.24518742369187033,-0.43051355467813673,-0.06687292563980844
1907-04-01,-0.2560448707267868,-0.4305282733450408,-0.05213498636495578
1907-05-01,-0.2639919695393075,-0.4505996183263795,-0.06964212304384426
1907-06-01,-0.25759823237342344,-0.44597124405029737,-0.07687734270556189
1907-07-01,-0.2479427431354231,-0.4321775877193521,-0.06187440161458912
1907-08-01,-0.24991303510910515,-0.4393134375236464,-0.05483261841993949
1907-09-01,-0.24626360330677968,-0.4261317455244805,-0.05364885537134156
1907-10-01,-0.23623360522978512,-0.42524107688289486,-0.04851600876586491
1907-11-01,-0.2408546359618145,-0.43131332730798627,-0.06344472893151759
1907-12-01,-0.2787681647410526,-0.4586265875883587,-0.08972569853186466
1908-01-01,-0.25019514891950884,-0.4590017650983147,-0.06407284966080039
1908-02-01,-0.2511618095487009,-0.43695725128112195,-0.06603492093625278
1908-03-01,-0.238393244125617,-0.41547589492122355,-0.05361299130082379
1908-04-01,-0.2511933084225355,-0.44100423895130975,-0.05320519612032582
1908-05-01,-0.25319999318365105,-0.44347804568601257,-0.06993656428761172
1908-06-01,-0.2693958913181621,-0.4613042820482677,-0.06535346422353909
1908-07-01,-0.25172118736481325,-0.42481356568457795,-0.06336822522978379
1908-08-01,-0.249315361708236,-0.42577506298853934,-0.062347158848623026
1908-09-01,-0.2365160864112543,-0.4232281721463617,-0.048480752266012526
1908-10-01,-0.23826388707945834,-0.41034697310368956,-0.05982932862881127
1908-11-01,-0.2498919165742055,-0.44992327613322197,-0.06578086770385315
1908-12-01,-0.25351228658886826,-0.45817556143246746,-0.0654345881807694
1909-01-01,-0.26823087045290417,-0.4555537007930377,-0.0684094221516776
1909-02-01,-0.25773776691483763,-0.43713888409217,-0.06900102160187208
1909-03-01,-0.2397852295415886,-0.4192290995739068,-0.052153544394821255
1909-04-01,-0.25200160405986627,-0.4367272092825686,-0.063259926415366
1909-05-01,-0.2561032542204885,-0.4354177754728253,-0.062026820005843725
1909-06-01,-0.2647587592101616,-0.4562468747596696,-0.07192327639847303
